localization,geology,utm_x,utm_y,date,conductivity,T_avg,pH,TOC,alkalinity,DO,ORP,eH,NH4,Cl,SO4,NO3,PO4,Br,F,Ca,Mg,Na,K,Fe,Si,Al,S,P,Li,Be,B,Sc,Ti,V,Cr,Mn,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Cd,Sn,Sb,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Tl,Pb,Bi,Th,U,del_18O,del_2H
Mwabungo _ Chiungoni,Plc,559750,9518974,2016-06-07T00:00:00Z,881,29.3,7.01,1.074,366.12,6.45,33,253,0,68.28052103644748,24.87964775185447,3.629988919299907,0.029514284210526313,0.434,0.1743319094577645,116.97,13.159,43.929,3.5191,0.027299999999999998,15.893999999999998,-0.0282,8.0016,-0.0141,5.876,0.79990000000000006,50.61,2.284,0.79990000000000006,3.096,1.639,2.11,0.79990000000000006,1.293,0.79990000000000006,17.45,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.987,472,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,163.3,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,4.829,0.79990000000000006,0.79990000000000006,1.481,-3.144782724972952,-12.869107720462733
Mvureni-Maweni,Plc,561675.091028,9518791.3043499999,2016-06-07T00:00:00Z,2743,29.5,7.07,1.01,311.202,7.08,-39.6,180.4,0,690.0662449448259,86.07628305763821,6.08830741893441,0.019509442105263158,5.662,0.1562435366952525,133.51000000000002,34.024,327.44,8.5886,0.1815,10.685,-0.0627,26.426,0.0193,9.564,0.79990000000000006,95.18,1.547,0.79990000000000006,7.036,1.796,5.814,0.79990000000000006,2.306,4.697,82.05,0.79990000000000006,0.79990000000000006,2.678,2.064,4.041,721,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,136.6,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.279,0.79990000000000006,0.79990000000000006,1.283,-2.739344385886489,-10.923661343520935
Neptune,Plc,561998.43999999994,9518317.5600000005,2016-06-07T00:00:00Z,3793,28.1,7.36,1.464,256.28400000000005,6.13,34.9,254.9,0,1025.183015665286,132.61227971675135,11.832802085047723,0.01750847368421053,4.131,0.1753572589262613,124.97,54.078,510.77,16.604,0.0337,8.5336,-0.0387,40.961,-0.0055000000000000005,11.5,0.79990000000000006,139.7,0.815,0.79990000000000006,11.05,1.402,12.5,0.79990000000000006,2.12,1.558,40.85,0.79990000000000006,0.79990000000000006,4.357,3.521,6.589,801.3,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,112.9,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.918,0.79990000000000006,0.79990000000000006,1.075,-2.647392958720648,-9.94126671990654
Ukunda Settlement Scheme,Pls,559676,9522558,2016-06-06T00:00:00Z,4061,29.6,6.78,1.837,378.324,4.46,7.9,227.9,0,19.36507006802903,3.816266291147771,1.8291364455351244,0.06253026315789474,0.239,0.13490525185084565,94.717,12.903,27.486,2.5141999999999998,0.009600000000000001,14.928999999999998,-0.09090000000000001,1.1179999999999999,0.0337,3.777,0.79990000000000006,58.56,1.323,0.79990000000000006,5.658,0.79990000000000006,14.15,0.79990000000000006,1.379,2.623,35.51,0.79990000000000006,0.79990000000000006,2.245,0.79990000000000006,1.161,363.4,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,114.4,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.562,-3.170565607576464,-14.018823518075354
Ukunda Settlement Scheme,Pls,559400,9521914,2016-06-06T00:00:00Z,769,28.9,6.76,0.471,396.63,3.7,61.5,281.5,0,17.887073872208134,3.2584913523523715,0.4877686436889448,0.040519610526315794,0.216,0.22795926947748227,108.64000000000001,15.926,29.327,2.6921,0.0419,17.942,-0.0284,1.0736999999999999,-0.0218,4.273,0.79990000000000006,57.61,2.06,0.79990000000000006,3.51,1.205,12.63,0.79990000000000006,1.252,1.164,16.69,0.79990000000000006,0.79990000000000006,0.96,0.79990000000000006,0.79990000000000006,420,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,142.8,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.772,-3.2289523466635504,-13.840572408418366
Ukunda Scheme Kwa Boga,Pls,559410.34122299997,9521871.5238600001,2016-06-06T00:00:00Z,875,29.1,6.99,0.588,488.16,3.1,50.4,270.4,0,28.010665745051416,26.55569240751473,0.06786900035782234,0.03851864210526316,0.47,0.6735838646802496,58.605999999999995,44.016000000000005,56.371,2.3859,0.0027,14.295,-0.0218,8.504000000000001,0.0282,23.78,0.79990000000000006,124.2,0.848,0.79990000000000006,3.616,0.79990000000000006,3.28,0.79990000000000006,0.79990000000000006,1.292,18.22,0.79990000000000006,0.79990000000000006,1.455,0.79990000000000006,1.326,836.6,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.195,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,43.09,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,11.65,-3.2760266550525188,-13.580422140270322
Mwabungo-Mwamua,Pls,559158,9520932,2016-06-07T00:00:00Z,592,28.6,7.2,0.946,292.896,5.72,25.5,245.5,0,20.86669362572171,15.60710765291794,1.2106646815827766,0.027513315789473684,0.154,0.14635068648170993,84.53099999999999,10.956999999999999,17.548,3.4535,0.0356,14.991000000000001,-0.09010000000000001,5.1619,-0.022699999999999998,5,0.79990000000000006,43.93,1.136,0.79990000000000006,2.573,2.253,8.464,0.79990000000000006,2.734,8.578,29.45,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,3.29,311.5,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,110.2,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,12.64,0.79990000000000006,0.79990000000000006,1.019,-3.0001493128660233,-12.670266786179736
Mkambani Mosque,P,553576.51,9521704.8100000005,2016-06-06T00:00:00Z,364.1,28.4,6.45,0.725,85.428,5.84,44.8,264.8,0,32.195391202961815,19.534844124508446,6.889295613577569,0.021510410526315787,0.156,0.02792236756046157,36.757,5.7056,23.032,1.7599,0.0325,13.326,-0.1433,6.2559,0.009600000000000001,0.79990000000000006,0.79990000000000006,65.2,0.892,0.79990000000000006,1.634,0.79990000000000006,16.63,0.79990000000000006,1.046,0.79990000000000006,17.34,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,3.357,169,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,229.4,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,-3.1194772108752633,-13.034921862900067
Mwanjamba Kwa Mwakassim A,P,555081,9522899,2016-06-06T00:00:00Z,91.9,27.7,5.29,0.773,18.306,7.86,136.2,356.2,0,11.736446172824596,5.9703316859364195,0.9465585000710934,0.047022757894736845,0.066,0.037847195150918896,1.3146,0.6793,15.068999999999999,2.044,0.030500000000000003,25.008,-0.06,1.8357,0.0346,0.815,0.79990000000000006,57.99,4.322,0.79990000000000006,1.36,0.79990000000000006,10.28,0.79990000000000006,1.228,251.5,228.7,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,2.724,11.43,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,67.69,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,-3.046128869897106,-12.460145415752471
Kinondo,Plc,559478,9517395,2016-06-07T00:00:00Z,64.5,29.9,6.95,1.001,317.30400000000003,6.06,65.8,285.8,0,85.57024110703024,16.13117658697335,3.0927615476225547,0.03301597894736842,1.19,0.14722967312295826,115,11.102,51.948,2.4503,-0.0036000000000000003,15.732999999999999,-0.0566,4.7581,-6.999999999999999e-4,4.799,0.79990000000000006,57.37,1.844,0.79990000000000006,4.319,2.466,2.552,0.79990000000000006,1.519,0.926,194.6,0.79990000000000006,0.79990000000000006,0.822,0.79990000000000006,2.038,436.1,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,152.3,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,5.122,0.79990000000000006,0.79990000000000006,1.012,-2.944316993613995,-12.461998337890279
