localization,geology,utm_x,utm_y,date,conductivity,T_avg,pH,TOC,alkalinity,DO,ORP,eH,NH4,Cl,SO4,NO3,PO4,Br,F,Ca,Mg,Na,K,Fe,Si,Al,S,P,Li,Be,B,Sc,Ti,V,Cr,Mn,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Cd,Sn,Sb,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Tl,Pb,Bi,Th,U,del_18O,del_2H
Kilole Primary School,P,556090,9518759,2016-06-08T00:00:00Z,282.6,28.4,6.91,1.569,103.73400000000001,3.47,-58,162,0,24.571265599215856,2.2088185348119524,0.8002713146555602,0.03151525263157894,0.064,0.057887573631102134,35.739000000000004,1.8477999999999999,14.275,1.3294000000000001,0.024399999999999998,17.837,-0.052,0.6208,-0.0799,0.79990000000000006,0.79990000000000006,66.1,2.564,0.79990000000000006,1.485,0.79990000000000006,102.5,0.79990000000000006,0.841,0.79990000000000006,17.15,0.79990000000000006,0.79990000000000006,1.591,0.79990000000000006,3.517,102.7,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,24.19,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.89,0.79990000000000006,0.79990000000000006,0.79990000000000006,-2.4413820429103277,-8.30589262963927
Zigira Mosque,Pls-Plc,554786,9517940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zigira Chiyaye B,P,554315.70778299996,9518049.1544300001,2016-06-08T00:00:00Z,170.2,28.8,5.73,1.537,42.714,2.9,88.3,308.3,0,19.957775238440306,8.240901767981224,4.46492545096832,0.043020821052631573,0.093,0.013766012547474369,3.1574999999999998,0.728,29.552,1.5572,0.0319,23.182000000000002,-0.059699999999999996,2.4087,-0.026,1.64,0.79990000000000006,57.03,3.978,0.79990000000000006,1.615,0.79990000000000006,12.82,0.79990000000000006,0.79990000000000006,2.435,147.6,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.589,30.24,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,51.7,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.102,0.79990000000000006,0.79990000000000006,0.79990000000000006,-3.3737315402763137,-14.038490879043914
Zigira Bodo C,P,553977.72008300002,9517010.2912799995,2016-06-08T00:00:00Z,51.4,29,6.04,1.131,54.918000000000006,3.04,-5.8,214.2,0,10.808870549344839,9.273304573060148,2.606363831098544,0.039519126315789466,0.076,0.03123122136784786,2.9489,0.785,27.354,1.6263,0.4465,24.750999999999998,-0.1276,2.4499,-0.008499999999999999,2.225,0.79990000000000006,62.59,4.531,0.79990000000000006,1.57,1.129,8.778,0.79990000000000006,0.79990000000000006,2.384,55.16,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.766,37.93,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,42.37,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.331,0.79990000000000006,0.79990000000000006,0.79990000000000006,-3.2390325995041653,-14.055907116069275
Magaoni Mosque,P,552537,9516102,2016-06-08T00:00:00Z,735,29.2,6.76,NA,189.162,3.86,52.5,272.5,0,78.292975631272,30.829523505733476,37.32149686816997,0.07853801052631579,0.319,0.05743591611651203,64.66499999999999,10.548,54.900000000000006,8.370800000000001,-0.0151,35.471,-0.0891,9.5713,0.0282,0.79990000000000006,0.79990000000000006,50.26,7.315,0.79990000000000006,8.148,0.79990000000000006,90.24,0.804,2.415,0.79990000000000006,18.9,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.703,13.91,409.8,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,532,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,2.756,0.79990000000000006,0.79990000000000006,0.79990000000000006,-2.5428275068116006,-8.114731784104215
Mchenzani Magaoni,P,552092,9516413,2016-06-08T00:00:00Z,342.2,28.1,6.69,1.364,115.938,4.31,45.6,265.6,0,23.948578754087634,14.81054943018136,2.059884632149344,0.021510410526315787,0.134,0.04032616184300918,44.692,2.6635999999999997,15.69,2.5787,0.1268,12.896,-0.0233,4.3623,0.007299999999999999,4.222,0.79990000000000006,60.68,1.443,0.79990000000000006,2.794,1.8,7.321,0.79990000000000006,1.153,2.772,30.23,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,3.735,232.2,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,138.4,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.443,0.79990000000000006,0.79990000000000006,0.79990000000000006,-2.6847781739252463,-9.524496621661768
Bumamani,Kambe limestones,551022,9515601,2016-06-08T00:00:00Z,256.4,28.7,6.52,1.38,109.83600000000001,5.31,91,311,0,11.79982919585955,14.580326727180747,0.31438711253856694,0.3406648736842105,0.084,0.14904930973529293,15.016,4.5045,27.284000000000002,2.3239,0.0534,29.398,-0.0782,4.2799,0.1099,3.609,0.79990000000000006,85.99,5.699,0.79990000000000006,12.55,9.603,2.306,0.79990000000000006,0.79990000000000006,0.939,71.44,0.79990000000000006,0.79990000000000006,1.707,0.79990000000000006,2.173,119.6,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,34.61,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.334,0.79990000000000006,0.79990000000000006,0.79990000000000006,-3.1416476732216125,-12.219307764544292
Darigube,Plc,544954,9500348,2016-06-13T00:00:00Z,820,28.2,6.56,3.911,176.958,5.4,-120.8,99.2,0,98.69122429998515,53.977025839994845,41.371749776438776,0.021510410526315787,0.218,0.04568348930796942,48.998,10.433,71.837,28.174999999999997,0.027100000000000003,5.9668,-0.0402,16.888,0.005999999999999999,3.419,0.79990000000000006,35.66,0.944,1.053,0.79990000000000006,0.79990000000000006,43.65,1.768,3.377,2.054,19.88,0.79990000000000006,0.79990000000000006,0.79990000000000006,7.206,31.86,225.1,0.934,0.79990000000000006,0.79990000000000006,0.983,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,227.5,0.79990000000000006,1.566,0.79990000000000006,0.841,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.613,0.79990000000000006,0.79990000000000006,0.843,-2.28615933075971,-7.522461803514104
Munje Bujoni,Plc,550609,9502401,2016-06-13T00:00:00Z,700,27.4,7.16,3.63,256.28400000000005,4.25,48.4,268.4,0,21.41457110872547,8.158844666251888,3.220121595959564,0.04602227368421052,0.095,0.12053586394313782,110.72,3.815,19.226,1.4903,0.03950000000000001,9.7777,0.09570000000000001,2.3881,-0.019200000000000002,2.606,0.79990000000000006,32.46,1.043,4.557,0.79990000000000006,0.821,3.392,0.79990000000000006,1.209,1.075,16.88,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.5,254.4,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,90.98,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.874,2.771,0.79990000000000006,1.017,-2.6418654698408064,-9.280932096617786
Munje Madukani,Plc,550582.03894100001,9501877.2841500007,2016-06-13T00:00:00Z,667,28.9,6.87,3.355,353.916,3.92,80,300,0,21.574247377068982,5.978903502646814,6.147730988152711,0.022510894736842105,0.082,0.11535928350779022,120.3,3.8422,17.573,1.396,0.019200000000000002,8.5678,0.0245,1.8323,0.0347,2.224,0.79990000000000006,28.53,0.79990000000000006,1.924,0.79990000000000006,0.97,1.132,0.79990000000000006,1.278,3.365,21.35,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.239,247.5,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,130.9,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.217,0.79990000000000006,0.79990000000000006,0.79990000000000006,-2.856435436919941,-10.593103141898565
Kinondo,Plc,559295,9515996,2016-06-07T00:00:00Z,2011,29.2,6.87,0.965,335.61,5.49,47.1,267.1,0,433.162254718573,49.71418250587972,17.172791284911366,0.02301113684210526,2.143,0.10208507058338089,130.15,22.480000000000004,210.65,5.8651,0.0269,7.4224,-0.085,15.288,-0.0121,4.636,0.79990000000000006,74.71,0.79990000000000006,0.79990000000000006,7.493,1.061,0.817,0.79990000000000006,1.842,4.835,57.68,0.79990000000000006,0.79990000000000006,1.948,1.843,2.709,475.4,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,77.82,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.739,0.79990000000000006,0.79990000000000006,0.825,-2.589901121355714,-9.168157958140112
Kinondo,Plc,557762,9515549,2016-06-11T00:00:00Z,830,28.8,6.86,2.907,347.814,7.19,40.7,260.7,0,32.98099715957722,2.085054025620707,73.07532752505652,10,3.77,0.07746462967328824,132.41,3.1692,16.129,0.4249,0.0012000000000000001,4.6812,-0.0211,0.6729,-0.0538,1.954,0.79990000000000006,22.39,0.79990000000000006,0.79990000000000006,1.715,0.79990000000000006,2.616,0.79990000000000006,1.564,0.79990000000000006,14.16,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.825,324.4,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,59.26,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,2.061,0.79990000000000006,0.79990000000000006,0.79990000000000006,-2.59245550354028,-8.46438909768484
Makongeni,Plc,557277,9513924,2016-06-14T00:00:00Z,2360,28.2,6.63,1.157,433.242,5.48,-33.3,186.7,0,602.4536451778644,41.815652242804425,1.6444929362191671,0.026012589473684213,2.114,0.08947954341751752,257.65999999999997,24.481,200.87,5.9321,0.182,12.783,0.2009,12.972999999999999,0.0569,6.505,0.79990000000000006,49.47,2.105,7.378,2.184,1.239,14.05,0.79990000000000006,3.186,17.71,159.4,0.79990000000000006,0.79990000000000006,1.362,2.199,2.62,626.8,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,276.9,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.553,0.79990000000000006,0.79990000000000006,0.79990000000000006,-2.619298010865872,-9.24358794298535
Makongeni Kambini,Plc,557216.71195899998,9513985.9317199998,2016-06-14T00:00:00Z,1750,30.3,6.81,1.705,305.1,3.34,-32,188,0,320.8065905707502,28.99646624827618,5.4685262302835795,0.04602227368421052,0.975,0.09926371609463053,174.63,16.070999999999998,129.98,5.5901,0.07479999999999999,14.966999999999999,0.1745,9.5932,-0.0264,9.526,0.79990000000000006,65.95,2.191,4.943,3.699,0.79990000000000006,21.8,0.79990000000000006,3.026,8.739,38.8,0.79990000000000006,0.79990000000000006,0.979,1.346,4.091,409.1,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,148.8,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.467,0.79990000000000006,0.79990000000000006,0.79990000000000006,-2.467907024057523,-9.48145572156848
Hotspring on the Tributary fo Ramisi River,Spring,532334.89,9512936.7200000007,2016-06-09T00:00:00Z,15792,58.8,7.88,1.74,976.32,0.85,-197,23,5,2642.6739685992497,10,0.19364442033756707,0.14456996842105266,8.486,8.936757391781722,32.877,8.1594,1715.3,60.968,0.0721,31.109,-0.0232,0.0723,0.009300000000000001,1832,0.79990000000000006,3691,8.037,3.209,24.08,1.577,48.34,0.79990000000000006,0.985,2.338,19.76,0.79990000000000006,35.08,9.426,9.353,322.2,7552,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,35.65,3186,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,2.702,0.79990000000000006,1.664,0.79990000000000006,0.79990000000000006,0.79990000000000006,-2.367957871468652,-9.64027769115512
Eshu Bridge - Ramisi river,SW,537581,9511612,2016-06-09T00:00:00Z,5594,32.1,8.54,7.599,445.446,11.63,-18.3,201.7,1.2,1561.868505796189,16.68803297373032,0.2787924689603649,10,5.711,4.145183259641826,32.141999999999996,31.631,997.5,30.049999999999997,-0.0094,3.493,-0.0735,5.2119,0.0121,764.8,0.79990000000000006,3103,0.79990000000000006,0.79990000000000006,23.13,1.226,55.25,0.912,1.662,1.624,8.313,0.79990000000000006,2.829,8.296,5.755,76.77,2650,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.042,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.943,1425,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.864,0.79990000000000006,0.9,0.79990000000000006,0.79990000000000006,1.38,0.9489096993558648,6.12844903081607
Mwachande Bridge,SW,540877.53,9507179.9299999997,2016-06-09T00:00:00Z,3211,30.6,8.57,9.435,158.65200000000002,8.93,-32.5,187.5,0,858.8985100123125,11.937461021545177,0.24965883806677866,0.020009684210526315,4.595,2.1333433822334746,25.255000000000003,20.994,555.28,15.386,0.1814,5.5994,0.028,3.8004,0.0151,379,0.79990000000000006,1164,0.79990000000000006,0.79990000000000006,15.68,0.9,212.4,1.271,1.969,2.043,7.356,0.79990000000000006,0.79990000000000006,4.594,2.94,28.54,1221,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.963,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,462.8,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.219,0.79990000000000006,0.79990000000000006,0.951,0.4015503218022327,4.038518902938082
KWAWASCO,Kambe limestones,564743.36,9536994.8699999992,2016-06-18T00:00:00Z,450,30.4,6.58,2.387,195.264,5.13,34.2,254.2,0,54.53094244799124,11.511242256488261,2.0920551124811424,0.2055995052631579,0.207,0.07884234392763276,55.099999999999994,7.6875,33.079,3.7921,0.043699999999999996,23.558,-0.0214,3.5134,0.05159999999999999,4.596,0.79990000000000006,63.39,4.125,1.268,2.998,2.63,4.415,0.79990000000000006,1.072,0.925,60.42,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,3.733,228.4,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,93.21,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,-2.9436909877868045,-13.044577668774105
KWAWASCO,Kambe limestones,563547,9532919,2016-06-14T00:00:00Z,1100,29.4,7.02,1.341,341.712,1.45,43.5,263.5,0,92.90008058318567,109.36416395125889,6.062632168232422,0.06403098947368421,0.311,0.15461979915498916,104.11,16.594,89.474,3.8809,0.0133,16.96,0.0173,33.349000000000004,0.0371,6.214,0.79990000000000006,51.31,3.069,1.822,3.024,1.154,2.265,0.79990000000000006,1.44,2.505,19.08,0.79990000000000006,0.79990000000000006,1.603,0.79990000000000006,2.847,941.9,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,160.9,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.49,0.79990000000000006,0.79990000000000006,0.82,-2.2424786312199587,-9.685276002676316
Mwachema River,SW,558809,9527068,2016-06-11T00:00:00Z,505,25,7.25,14.85,189.162,5.05,-30.6,189.4,0,53.54303239254561,2.551805401156044,0.2653843912296992,0.035517189473684214,0.225,0.12210652866658608,32.321,8.2179,57.202,5.929799999999999,0.0777,16.711,-0.0854,1.1101,-0.0216,2.84,0.79990000000000006,125.5,2.087,0.79990000000000006,3.894,0.79990000000000006,312,0.79990000000000006,2.176,4.082,19.62,0.79990000000000006,0.79990000000000006,4.033,0.79990000000000006,4.194,296.1,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,331.4,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.547,0.79990000000000006,0.79990000000000006,0.79990000000000006,-0.702457822219125,1.4139380723353054
Shimba Hills Pumping Station - Mukurumudzi river,SW,546595,9519210,2016-06-15T00:00:00Z,140,22.6,6.37,2.952,30.51,8.59,66.8,286.8,0,16.902494548905924,6.293649020962388,1.521650493005186,0.012005810526315788,0.058,0.03955487892063602,4.1261,2.5935,14.299,2.1763,0.021900000000000003,8.0501,-0.1183,1.8204,-0.0114,1.402,0.79990000000000006,36.78,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,68.58,0.79990000000000006,0.79990000000000006,1.285,20.04,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.859,35.42,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,78.04,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.172,0.79990000000000006,0.79990000000000006,0.79990000000000006,-2.6926128899949675,-9.446365783062737
Shimba Hills Secondary School BH,Sandstones,545937,9517926,2016-06-15T00:00:00Z,290,28,6.95,1.426,207.46800000000002,4.29,-77.9,142.1,0,32.829873329267805,51.742121640499356,1.1847766782501372,0.052525421052631575,0.181,0.17920926425154055,31.658,17.887,56.488,5.6897,0.8527,23.307000000000002,-0.0645,15.899000000000001,0.1146,17.45,0.79990000000000006,74.61,4.74,1.328,1.446,0.79990000000000006,836.5,2.454,2.955,0.95,29.87,0.79990000000000006,0.79990000000000006,10.53,0.79990000000000006,6.318,76.14,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,100.8,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.186,0.79990000000000006,0.79990000000000006,0.79990000000000006,-3.358421428455915,-13.3603871153258
Mukurumudzi River- Base T Dam,SW,547988,9513087,2016-06-15T00:00:00Z,230,26.9,6.83,4.001,61.02,7.35,-36.3,183.7,0,21.640545663954555,5.157847084053763,0.9065887112933962,0.012005810526315788,0.14,0.0699818547035872,11.777,3.7921,18.499000000000002,3.4860999999999995,0.06369999999999999,7.314,-0.0121,1.5473999999999999,-0.027000000000000003,3.739,0.79990000000000006,44.4,0.79990000000000006,0.79990000000000006,0.983,0.835,155.8,0.79990000000000006,0.938,1.269,18.67,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,3.731,71.49,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,189.8,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.67,0.79990000000000006,0.79990000000000006,0.79990000000000006,-0.06550508115720362,2.6604095958553207
Mukurumudzi River Kiscol Dam,SW,551331.67000000004,9509042.7300000004,2016-06-15T00:00:00Z,210,26.3,6.75,5.486,67.12200000000001,8.18,32.3,252.3,0,22.374806122950496,2.7793002562386584,0.5109155263440397,0.018008715789473686,0.145,0.05596909083881736,11.17,3.3503,19.574,1.9870999999999999,0.2289,8.930200000000001,0.0046,0.9365999999999999,0.036,2.083,0.79990000000000006,39.72,0.808,1.225,1.135,0.79990000000000006,231.7,0.79990000000000006,0.845,1.517,15.16,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,3.028,71.03,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,117.6,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.696,0.79990000000000006,0.79990000000000006,0.79990000000000006,-1.1243682532836443,-1.1472220292360769
KINGOMBERO,Sandstones,538535.73,9503171.2799999993,2016-06-25T00:00:00Z,110,28.5,5.47,2.056,18.306,4.4,102.9,322.9,0,NA,NA,NA,NA,NA,NA,2.0815,1.5812000000000002,13.515999999999998,2.6963,0.1051,14.249,-0.028800000000000003,2.5821,9.000000000000001e-4,0.79990000000000006,0.79990000000000006,44.09,1.911,0.79990000000000006,1.221,1.204,3.657,0.79990000000000006,1.437,2.511,59.66,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,7.782,24.1,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,47.24,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,-3.027748753733422,-11.290794083591402
